Order ID,Order Date,Customer Region,Product Category,Product Sub-Category,Units Sold,Unit Price,Sales
ORD1000,2023-01-01,East,Clothing,Football,2,458.28,916.56
ORD1001,2023-01-02,West,Clothing,Phone,12,191.38,2296.56
ORD1002,2023-01-03,North,Sports,Shoes,6,17.57,105.42
ORD1003,2023-01-04,East,Clothing,Blender,4,464.88,1859.52
ORD1004,2023-01-05,East,Clothing,Tennis Racket,11,219.81,2417.91
ORD1005,2023-01-06,West,Clothing,Shoes,17,483.66,8222.220000000001
ORD1006,2023-01-07,North,Sports,Cookware,6,482.17,2893.02
ORD1007,2023-01-08,North,Clothing,Blender,5,427.97,2139.8500000000004
ORD1008,2023-01-09,East,Home & Kitchen,Football,2,154.28,308.56
ORD1009,2023-01-10,South,Sports,Football,6,198.7,1192.1999999999998
ORD1010,2023-01-11,East,Home & Kitchen,Blender,11,427.06,4697.66
ORD1011,2023-01-12,East,Sports,Football,16,165.29,2644.64
ORD1012,2023-01-13,East,Clothing,Shirt,16,93.05,1488.8
ORD1013,2023-01-14,East,Home & Kitchen,Blender,1,282.83,282.83
ORD1014,2023-01-15,West,Sports,Shoes,9,468.72,4218.4800000000005
ORD1015,2023-01-16,North,Electronics,Blender,6,351.05,2106.3
ORD1016,2023-01-17,West,Clothing,Tennis Racket,16,289.33,4629.28
ORD1017,2023-01-18,West,Sports,Football,3,57.62,172.85999999999999
ORD1018,2023-01-19,West,Electronics,Shirt,4,311.35,1245.4
ORD1019,2023-01-20,East,Sports,Shirt,19,495.13,9407.47
ORD1020,2023-01-21,South,Electronics,Cookware,3,78.64,235.92000000000002
ORD1021,2023-01-22,North,Clothing,Shoes,19,263.98,5015.620000000001
ORD1022,2023-01-23,South,Home & Kitchen,Laptop,7,439.91,3079.3700000000003
ORD1023,2023-01-24,West,Electronics,Laptop,9,372.98,3356.82
ORD1024,2023-01-25,West,Sports,Blender,1,351.54,351.54
ORD1025,2023-01-26,South,Clothing,Cookware,8,354.22,2833.76
